date,equity,cash,borrowed,holdings_val,leverage,drawdown,num_positions,active_holdings,regime
2011-06-29,859.68,-2.63,1002.9,1865.21,2.17,28.29,2,"REGN,BKNG",Bull_MidVol
2011-06-30,896.31,0.0,634.75,1531.06,1.71,25.23,2,"REGN,FTNT",Bull_MidVol
2011-07-01,917.7,-0.08,634.75,1552.53,1.69,23.45,2,"REGN,FTNT",Bull_MidVol
2011-07-05,951.45,-0.16,634.75,1586.36,1.67,20.63,2,"REGN,FTNT",Bull_MidVol
2011-07-06,957.83,-0.24,634.75,1592.81,1.66,20.1,2,"REGN,FTNT",Bull_MidVol
2011-07-07,952.97,-0.32,634.75,1588.04,1.67,20.5,2,"REGN,FTNT",Bull_MidVol
2011-07-08,954.61,-0.4,634.75,1589.76,1.67,20.37,2,"REGN,FTNT",Bull_MidVol
2011-07-11,907.83,-0.48,634.75,1543.05,1.7,24.27,2,"REGN,FTNT",Bull_MidVol
2011-07-12,887.49,-0.56,634.75,1522.79,1.72,25.97,2,"REGN,FTNT",Bull_MidVol
2011-07-13,900.22,-0.63,634.75,1535.6,1.71,24.9,2,"REGN,FTNT",Bull_MidVol
2011-07-14,879.09,-0.71,634.75,1514.55,1.72,26.67,2,"REGN,FTNT",Bull_MidVol
2011-07-15,868.39,-0.79,634.75,1503.93,1.73,27.56,2,"REGN,FTNT",Bull_MidVol
2011-07-18,860.76,-0.87,634.75,1496.38,1.74,28.2,2,"REGN,FTNT",Bull_MidVol
2011-07-19,908.47,-0.95,634.75,1544.18,1.7,24.22,2,"REGN,FTNT",Bull_MidVol
2011-07-20,735.86,41.49,0.0,694.37,0.94,38.62,1,REGN,Bull_MidVol
2011-07-21,724.09,41.49,0.0,682.6,0.94,39.6,1,REGN,Bull_MidVol
2011-07-22,724.69,41.49,0.0,683.19,0.94,39.55,1,REGN,Bull_MidVol
2011-07-25,703.05,41.49,0.0,661.56,0.94,41.35,1,REGN,Bull_MidVol
2011-07-26,677.73,41.49,0.0,636.24,0.94,43.46,1,REGN,Bull_MidVol
2011-07-27,667.39,41.49,0.0,625.89,0.94,44.33,1,REGN,Bull_MidVol
2011-07-28,667.15,41.49,0.0,625.66,0.94,44.35,1,REGN,Bull_MidVol
2011-07-29,661.53,0.0,516.26,1177.8,1.78,44.82,2,"REGN,BKNG",Bull_MidVol
2011-08-01,654.86,-0.06,516.26,1171.19,1.79,45.37,2,"REGN,BKNG",Bull_MidVol
2011-08-02,639.52,-0.13,516.26,1155.92,1.81,46.65,2,"REGN,BKNG",Bull_MidVol
2011-08-03,634.97,-0.19,516.26,1151.43,1.81,47.03,2,"REGN,BKNG",Bull_MidVol
2011-08-04,542.65,-0.26,516.26,1059.18,1.95,54.73,2,"REGN,BKNG",Bull_MidVol
2011-08-05,545.52,-0.32,516.26,1062.11,1.95,54.49,2,"REGN,BKNG",Bull_MidVol
2011-08-08,502.64,-0.39,516.26,1019.29,2.03,58.07,2,"REGN,BKNG",Bull_MidVol
2011-08-09,566.42,-0.45,516.26,1083.13,1.91,52.75,2,"REGN,BKNG",Bull_MidVol
2011-08-10,538.0,-0.52,516.26,1054.78,1.96,55.12,2,"REGN,BKNG",Bull_MidVol
2011-08-11,592.37,-0.58,516.26,1109.22,1.87,50.58,2,"REGN,BKNG",Bull_MidVol
2011-08-12,665.98,-0.65,516.26,1182.89,1.78,44.45,2,"REGN,BKNG",Bull_MidVol
2011-08-15,741.9,-0.71,516.26,1258.88,1.7,38.11,2,"REGN,BKNG",Bull_MidVol
2011-08-16,721.13,-0.77,516.26,1238.17,1.72,39.84,2,"REGN,BKNG",Bull_MidVol
2011-08-17,691.96,-0.84,516.26,1209.06,1.75,42.28,2,"REGN,BKNG",Bull_MidVol
2011-08-18,625.86,-0.9,321.88,948.65,1.52,47.79,1,REGN,Bull_MidVol
2011-08-19,658.66,658.66,0.0,0.0,0.0,45.06,0,CASH_BIL,Bear
2011-08-22,658.95,658.95,0.0,0.0,0.0,45.03,0,CASH_BIL,Bear
2011-08-23,658.95,658.95,0.0,0.0,0.0,45.03,0,CASH_BIL,Bear
2011-08-24,658.66,658.66,0.0,0.0,0.0,45.06,0,CASH_BIL,Bear
2011-08-25,658.95,658.95,0.0,0.0,0.0,45.03,0,CASH_BIL,Bear
2011-08-26,658.95,658.95,0.0,0.0,0.0,45.03,0,CASH_BIL,Bear
2011-08-29,658.95,658.95,0.0,0.0,0.0,45.03,0,CASH_BIL,Bull_MidVol
2011-08-30,658.95,658.95,0.0,0.0,0.0,45.03,0,CASH_BIL,Bull_MidVol
2011-08-31,654.58,57.62,0.0,596.96,0.91,45.4,2,"REGN,AMZN",Bull_MidVol
2011-09-01,656.37,57.62,0.0,598.76,0.91,45.25,2,"REGN,AMZN",Bull_MidVol
2011-09-02,678.54,678.54,0.0,0.0,0.0,43.4,0,CASH_BIL,Bear
2011-09-06,678.4,678.4,0.0,0.0,0.0,43.41,0,CASH_BIL,Bear
2011-09-07,678.4,678.4,0.0,0.0,0.0,43.41,0,CASH_BIL,Bull_MidVol
2011-09-08,678.4,678.4,0.0,0.0,0.0,43.41,0,CASH_BIL,Bull_MidVol
2011-09-09,678.4,678.4,0.0,0.0,0.0,43.41,0,CASH_BIL,Bear
2011-09-12,678.25,678.25,0.0,0.0,0.0,43.42,0,CASH_BIL,Bear
2011-09-13,678.25,678.25,0.0,0.0,0.0,43.42,0,CASH_BIL,Bull_MidVol
2011-09-14,678.25,678.25,0.0,0.0,0.0,43.42,0,CASH_BIL,Bull_MidVol
2011-09-15,678.25,678.25,0.0,0.0,0.0,43.42,0,CASH_BIL,Bull_MidVol
2011-09-16,678.25,678.25,0.0,0.0,0.0,43.42,0,CASH_BIL,Bull_MidVol
2011-09-19,678.25,678.25,0.0,0.0,0.0,43.42,0,CASH_BIL,Bull_MidVol
2011-09-20,678.25,678.25,0.0,0.0,0.0,43.42,0,CASH_BIL,Bull_MidVol
2011-09-21,678.25,678.25,0.0,0.0,0.0,43.42,0,CASH_BIL,Bull_MidVol
2011-09-22,678.4,678.4,0.0,0.0,0.0,43.41,0,CASH_BIL,Bear
2011-09-23,678.4,678.4,0.0,0.0,0.0,43.41,0,CASH_BIL,Bear
