date,equity,cash,borrowed,holdings_val,leverage,drawdown,num_positions,active_holdings,regime
2010-04-01,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-05,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-06,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-07,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-08,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-09,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-12,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-13,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-14,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-15,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-16,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-19,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-20,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-21,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-22,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-23,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-26,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-27,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-28,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-29,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-04-30,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-05-03,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_LowVol
2010-05-04,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_MidVol
2010-05-05,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_MidVol
2010-05-06,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_MidVol
2010-05-07,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bull_MidVol
2010-05-10,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-05-11,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-05-12,9997.82,9997.82,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bear_HighVol
2010-05-13,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-05-14,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-05-17,9997.82,9997.82,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bear_HighVol
2010-05-18,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-05-19,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-05-20,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-05-21,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-05-24,10000.0,10000.0,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-05-25,10002.18,10002.18,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-05-26,9997.82,9997.82,0.0,0.0,0.0,-0.0004,0,CASH_BIL,Bear_HighVol
2010-05-27,10000.0,10000.0,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bear_HighVol
2010-05-28,10000.0,10000.0,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bear_HighVol
2010-06-01,10002.18,10002.18,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-06-02,9997.82,9997.82,0.0,0.0,0.0,-0.0004,0,CASH_BIL,Bear_HighVol
2010-06-03,10002.18,10002.18,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-06-04,10000.0,10000.0,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bear_HighVol
2010-06-07,10002.18,10002.18,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-06-08,10002.18,10002.18,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-06-09,10002.18,10002.18,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-06-10,10002.18,10002.18,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-06-11,9997.82,9997.82,0.0,0.0,0.0,-0.0004,0,CASH_BIL,Bear_HighVol
2010-06-14,9997.82,9997.82,0.0,0.0,0.0,-0.0004,0,CASH_BIL,Bear_HighVol
2010-06-15,9997.82,9997.82,0.0,0.0,0.0,-0.0004,0,CASH_BIL,Bear_HighVol
2010-06-16,9997.82,9997.82,0.0,0.0,0.0,-0.0004,0,CASH_BIL,Bear_HighVol
2010-06-17,10000.0,10000.0,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bear_HighVol
2010-06-18,9997.82,9997.82,0.0,0.0,0.0,-0.0004,0,CASH_BIL,Bear_HighVol
2010-06-21,10000.0,10000.0,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bear_HighVol
2010-06-22,10000.0,10000.0,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bear_HighVol
2010-06-23,10000.0,10000.0,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bear_HighVol
2010-06-24,10000.0,10000.0,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bear_HighVol
2010-06-25,10000.0,10000.0,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bull_MidVol
2010-06-28,10000.0,10000.0,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bull_MidVol
2010-06-29,10002.18,10002.18,0.0,0.0,0.0,0.0,0,CASH_BIL,Bear_HighVol
2010-06-30,10000.0,10000.0,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bear_HighVol
2010-07-01,10000.0,10000.0,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bear_HighVol
2010-07-02,9997.82,9997.82,0.0,0.0,0.0,-0.0004,0,CASH_BIL,Bear_HighVol
2010-07-06,9997.82,9997.82,0.0,0.0,0.0,-0.0004,0,CASH_BIL,Bear_HighVol
2010-07-07,10000.0,10000.0,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bear_HighVol
2010-07-08,9997.82,9997.82,0.0,0.0,0.0,-0.0004,0,CASH_BIL,Bear_HighVol
2010-07-09,10000.0,10000.0,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bear_HighVol
2010-07-12,10000.0,10000.0,0.0,0.0,0.0,-0.0002,0,CASH_BIL,Bear_HighVol
2010-07-13,10029.09,0.0,1.61,10030.7,1.0,0.0,2,"NBIX,CRUS",Bull_MidVol
2010-07-14,10031.01,-0.0,1.61,10032.62,1.0,0.0,2,"NBIX,CRUS",Bull_MidVol
2010-07-15,9838.3,-0.0,1.61,9839.91,1.0,-0.0192,2,"NBIX,CRUS",Bull_MidVol
2010-07-16,9420.58,9420.58,0.0,0.0,0.0,-0.0609,0,CASH_BIL,Bear_HighVol
2010-07-19,9420.58,9420.58,0.0,0.0,0.0,-0.0609,0,CASH_BIL,Bear_HighVol
2010-07-20,9420.58,9420.58,0.0,0.0,0.0,-0.0609,0,CASH_BIL,Bull_MidVol
2010-07-21,9420.58,9420.58,0.0,0.0,0.0,-0.0609,0,CASH_BIL,Bear_HighVol
2010-07-22,9422.63,9422.63,0.0,0.0,0.0,-0.0606,0,CASH_BIL,Bear_HighVol
2010-07-23,9418.52,9418.52,0.0,0.0,0.0,-0.0611,0,CASH_BIL,Bear_HighVol
2010-07-26,9418.52,9418.52,0.0,0.0,0.0,-0.0611,0,CASH_BIL,Bear_HighVol
2010-07-27,9420.58,9420.58,0.0,0.0,0.0,-0.0609,0,CASH_BIL,Bear_HighVol
2010-07-28,9420.58,9420.58,0.0,0.0,0.0,-0.0609,0,CASH_BIL,Bull_MidVol
2010-07-29,9420.58,9420.58,0.0,0.0,0.0,-0.0609,0,CASH_BIL,Bull_MidVol
2010-07-30,9420.58,9420.58,0.0,0.0,0.0,-0.0609,0,CASH_BIL,Bull_MidVol
2010-08-02,9420.58,9420.58,0.0,0.0,0.0,-0.0609,0,CASH_BIL,Bull_MidVol
